date_time,response_time,response_time_bucket,date_time_hour_bucket
2020-06-09 08:37:24.470909,73.887,74,8
2020-06-09 08:37:25.548632,82.535,83,8
2020-06-09 08:37:26.634856,273.905,274,8
2020-06-09 08:37:27.912539,203.806,204,8
2020-06-09 08:37:29.119894,125.892,126,8
2020-06-09 08:37:30.249247,90.185,91,8
2020-06-09 08:37:31.342295,68.272,69,8
2020-06-09 08:37:32.414693,71.316,72,8
2020-06-09 08:37:33.489775,71.017,72,8
2020-06-09 08:37:34.564619,69.618,70,8
2020-06-09 08:37:35.637959,72.114,73,8
2020-06-09 08:37:36.714029,71.371,72,8
2020-06-09 08:37:37.789147,71.266,72,8
2020-06-09 08:37:38.864225,80.389,81,8
2020-06-09 08:37:39.948364,72.9,73,8
2020-06-09 08:37:41.024991,78.478,79,8
2020-06-09 08:37:42.107085,66.142,67,8
2020-06-09 08:37:43.177469,70.987,71,8
2020-06-09 08:37:44.252055,69.215,70,8
2020-06-09 08:37:45.325017,76.183,77,8
2020-06-09 08:37:46.405145,78.43,79,8
2020-06-09 08:37:47.487427,74.262,75,8
2020-06-09 08:37:48.565448,73.96,74,8
2020-06-09 08:37:49.642733,68.429,69,8
2020-06-09 08:37:50.714573,70.432,71,8
2020-06-09 08:37:51.788696,72.622,73,8
2020-06-09 08:37:52.864900,70.602,71,8
2020-06-09 08:37:53.938720,70.557,71,8
2020-06-09 08:37:55.012699,69.127,70,8
2020-06-09 08:37:56.085446,68.661,69,8
2020-06-09 08:37:57.157375,73.498,74,8
2020-06-09 08:37:58.234836,71.24,72,8
2020-06-09 08:37:59.309864,68.388,69,8
2020-06-09 08:38:00.382044,87.379,88,8
2020-06-09 08:38:01.474048,69.034,70,8
2020-06-09 08:38:02.547021,81.012,82,8
2020-06-09 08:38:03.631912,69.468,70,8
2020-06-09 08:38:04.705049,76.87,77,8
2020-06-09 08:38:05.785681,75.961,76,8
2020-06-09 08:38:06.864826,71.879,72,8
2020-06-09 08:38:07.940503,74.843,75,8
2020-06-09 08:38:09.019277,68.146,69,8
2020-06-09 08:38:10.092106,69.588,70,8
2020-06-09 08:38:11.165397,71.114,72,8
2020-06-09 08:38:12.239829,74.887,75,8
2020-06-09 08:38:13.318521,71.259,72,8
2020-06-09 08:38:14.393050,70.753,71,8
2020-06-09 08:38:15.467475,69.32,70,8
2020-06-09 08:38:16.540423,70.159,71,8
2020-06-09 08:38:17.613730,68.035,69,8
2020-06-09 08:38:18.685502,66.706,67,8
2020-06-09 08:38:19.757079,71.639,72,8
2020-06-09 08:38:20.832509,68.992,69,8
2020-06-09 08:38:21.905611,72.229,73,8
2020-06-09 08:38:22.982101,70.229,71,8
2020-06-09 08:38:24.055680,68.265,69,8
2020-06-09 08:38:25.127946,71.132,72,8
2020-06-09 08:38:26.203345,72.367,73,8
2020-06-09 08:38:27.279291,71.987,72,8
2020-06-09 08:38:28.355015,73.084,74,8
2020-06-09 08:38:29.431789,80.355,81,8
2020-06-09 08:38:30.515681,70.905,71,8
2020-06-09 08:38:31.590340,67.626,68,8
2020-06-09 08:38:32.662009,69.124,70,8
2020-06-09 08:38:33.734893,73.677,74,8
2020-06-09 08:38:34.812080,70.621,71,8
2020-06-09 08:38:35.887056,68.166,69,8
2020-06-09 08:38:36.958884,68.87,69,8
2020-06-09 08:38:38.032018,70.181,71,8
2020-06-09 08:38:39.105600,68.596,69,8
2020-06-09 08:38:40.177395,70.381,71,8
2020-06-09 08:38:41.251989,92.13,93,8
2020-06-09 08:38:42.347837,76.488,77,8
2020-06-09 08:38:43.428076,74.239,75,8
2020-06-09 08:38:44.506052,78.085,79,8
2020-06-09 08:38:45.587726,69.87,70,8
2020-06-09 08:38:46.662060,80.332,81,8
2020-06-09 08:38:47.745685,71.688,72,8
2020-06-09 08:38:48.820722,71.717,72,8
2020-06-09 08:38:49.896663,72.105,73,8
2020-06-09 08:38:50.971975,70.959,71,8
2020-06-09 08:38:52.047202,74.955,75,8
2020-06-09 08:38:53.125678,70.809,71,8
2020-06-09 08:38:54.199998,70.545,71,8
2020-06-09 08:38:55.274311,68.216,69,8
2020-06-09 08:38:56.347064,89.386,90,8
2020-06-09 08:38:57.440204,72.942,73,8
2020-06-09 08:38:58.517128,69.439,70,8
2020-06-09 08:38:59.590268,80.617,81,8
2020-06-09 08:39:00.674603,77.511,78,8
2020-06-09 08:39:01.755678,70.959,71,8
2020-06-09 08:39:02.830089,71.176,72,8
2020-06-09 08:39:03.905093,67.382,68,8
2020-06-09 08:39:04.975842,71.844,72,8
2020-06-09 08:39:06.051359,83.016,84,8
2020-06-09 08:39:07.137821,68.369,69,8
2020-06-09 08:39:08.209813,70.398,71,8
2020-06-09 08:39:09.283839,70.347,71,8
2020-06-09 08:39:10.357813,72.186,73,8
2020-06-09 08:39:11.433043,68.236,69,8
2020-06-09 08:39:12.505081,71.817,72,8
2020-06-09 08:39:13.581069,72.69,73,8
2020-06-09 08:39:14.657435,68.872,69,8
2020-06-09 08:39:15.730076,71.098,72,8
2020-06-09 08:39:16.804563,68.557,69,8
2020-06-09 08:39:17.876938,71.789,72,8
2020-06-09 08:39:18.952238,71.895,72,8
2020-06-09 08:39:20.027361,72.156,73,8
2020-06-09 08:39:21.103189,77.501,78,8
2020-06-09 08:39:22.184065,76.182,77,8
2020-06-09 08:39:23.263065,72.133,73,8
2020-06-09 08:39:24.338504,69.439,70,8
2020-06-09 08:39:25.412110,69.354,70,8
2020-06-09 08:39:26.485169,70.986,71,8
2020-06-09 08:39:27.559925,69.676,70,8
2020-06-09 08:39:28.633329,69.442,70,8
2020-06-09 08:39:29.706450,69.61,70,8
2020-06-09 08:39:30.780082,72.145,73,8
2020-06-09 08:39:31.855732,66.268,67,8
2020-06-09 08:39:32.925652,69.842,70,8
2020-06-09 08:39:33.999114,70.008,71,8
2020-06-09 08:39:35.072839,71.891,72,8
2020-06-09 08:39:36.164137,71.427,72,8
2020-06-09 08:39:37.240063,70.246,71,8
2020-06-09 08:39:38.314108,69.357,70,8
2020-06-09 08:39:39.387208,81.042,82,8
2020-06-09 08:39:40.471800,70.315,71,8
2020-06-09 08:39:41.545617,73.511,74,8
2020-06-09 08:39:42.622961,94.499,95,8
2020-06-09 08:39:43.722045,70.876,71,8
2020-06-09 08:39:44.797186,69.942,70,8
2020-06-09 08:39:45.870977,70.285,71,8
2020-06-09 08:39:46.944886,69.531,70,8
2020-06-09 08:39:48.017999,72.089,73,8
2020-06-09 08:39:49.093726,69.743,70,8
2020-06-09 08:39:50.166946,68.631,69,8
2020-06-09 08:39:51.242855,67.989,68,8
2020-06-09 08:39:52.313262,68.921,69,8
2020-06-09 08:39:53.385674,69.991,70,8
2020-06-09 08:39:54.458894,75.827,76,8
2020-06-09 08:39:55.538377,74.044,75,8
2020-06-09 08:39:56.615189,75.324,76,8
2020-06-09 08:39:57.693786,70.592,71,8
2020-06-09 08:39:58.768077,75.364,76,8
2020-06-09 08:39:59.847636,66.743,67,8
2020-06-09 08:40:00.918087,74.517,75,8
2020-06-09 08:40:01.997094,69.578,70,8
2020-06-09 08:40:03.070418,73.906,74,8
2020-06-09 08:40:04.147748,65.989,66,8
2020-06-09 08:40:05.217398,69.933,70,8
2020-06-09 08:40:06.290686,71.579,72,8
2020-06-09 08:40:07.366128,68.158,69,8
2020-06-09 08:40:08.437516,70.494,71,8
2020-06-09 08:40:09.511203,70.261,71,8
2020-06-09 08:40:10.585134,70.349,71,8
2020-06-09 08:40:11.658751,69.808,70,8
2020-06-09 08:40:12.732490,69.217,70,8
2020-06-09 08:40:13.805546,71.551,72,8
2020-06-09 08:40:14.880715,69.988,70,8
2020-06-09 08:40:15.954464,71.559,72,8
2020-06-09 08:40:17.029788,71.305,72,8
2020-06-09 08:40:18.105078,67.863,68,8
2020-06-09 08:40:19.176207,74.641,75,8
2020-06-09 08:40:20.254899,69.136,70,8
2020-06-09 08:40:21.328122,70.796,71,8
2020-06-09 08:40:22.402144,67.327,68,8
2020-06-09 08:40:23.473559,71.783,72,8
2020-06-09 08:40:24.549397,71.836,72,8
2020-06-09 08:40:25.624892,75.745,76,8
2020-06-09 08:40:26.704514,69.755,70,8
2020-06-09 08:40:27.777975,72.562,73,8
2020-06-09 08:40:28.853861,73.196,74,8
2020-06-09 08:40:29.930647,71.775,72,8
2020-06-09 08:40:31.006499,70.423,71,8
2020-06-09 08:40:32.080170,83.11,84,8
2020-06-09 08:40:33.167143,73.348,74,8
2020-06-09 08:40:34.244319,70.237,71,8
2020-06-09 08:40:35.318296,73.068,74,8
2020-06-09 08:40:36.395065,77.126,78,8
2020-06-09 08:40:37.474835,75.832,76,8
2020-06-09 08:40:38.554392,69.168,70,8
2020-06-09 08:40:39.627089,67.694,68,8
2020-06-09 08:40:40.698050,71.024,72,8
2020-06-09 08:40:41.772672,72.57,73,8
2020-06-09 08:40:42.848947,68.824,69,8
2020-06-09 08:40:43.921763,69.366,70,8
2020-06-09 08:40:44.995200,79.095,80,8
2020-06-09 08:40:46.077733,66.743,67,8
2020-06-09 08:40:47.148266,70.487,71,8
2020-06-09 08:40:48.222135,70.394,71,8
2020-06-09 08:40:49.296500,75.706,76,8
2020-06-09 08:40:50.375620,78.814,79,8
2020-06-09 08:40:51.458101,75.197,76,8
2020-06-09 08:40:52.536606,89.507,90,8
2020-06-09 08:40:53.629263,72.747,73,8
2020-06-09 08:40:54.705050,69.409,70,8
2020-06-09 08:40:55.778890,70.199,71,8
2020-06-09 08:40:56.852157,69.533,70,8
2020-06-09 08:40:57.925334,74.189,75,8
2020-06-09 08:40:59.004137,71.459,72,8
2020-06-09 08:41:00.079319,74.002,75,8
2020-06-09 08:41:01.157446,71.918,72,8
2020-06-09 08:41:02.233321,70.025,71,8
2020-06-09 08:41:03.307016,76.777,77,8
2020-06-09 08:41:04.387562,66.89,67,8
2020-06-09 08:41:05.457659,79.592,80,8
2020-06-09 08:41:06.541189,96.439,97,8
2020-06-09 08:41:07.642118,71.936,72,8
2020-06-09 08:41:08.718018,74.198,75,8
2020-06-09 08:41:09.795079,75.56,76,8
2020-06-09 08:41:10.874433,70.718,71,8
2020-06-09 08:41:11.949103,68.739,69,8
2020-06-09 08:41:13.022194,72.268,73,8
2020-06-09 08:41:14.097814,71.734,72,8
2020-06-09 08:41:15.173000,71.194,72,8
2020-06-09 08:41:16.247996,114.24,115,8
2020-06-09 08:41:17.365707,72.827,73,8
2020-06-09 08:41:18.442055,71.618,72,8
2020-06-09 08:41:19.517377,77.446,78,8
2020-06-09 08:41:20.599022,70.719,71,8
2020-06-09 08:41:21.673484,72.045,73,8
2020-06-09 08:41:22.749569,72.372,73,8
2020-06-09 08:41:23.825466,69.454,70,8
